State,Unemployment Rate
Alabama,3.1
Alaska,4.6
Arizona,3.6
Arkansas,3.4
California,5.3
Colorado,3.7
Connecticut,4.4
Delaware,3.9
District of Columbia,5.2
Florida,3.3
Georgia,3.1
Hawaii,3.1
Idaho,3.3
Illinois,4.8
Indiana,3.6
Iowa,2.8
Kansas,2.8
Kentucky,4.6
Louisiana,4.3
Maine,3.1
Maryland,2.6
Massachusetts,2.9
Michigan,3.9
Minnesota,2.7
Mississippi,2.8
Missouri,3.4
Montana,3.1
Nebraska,2.5
Nevada,5.1
New Hampshire,2.6
New Jersey,4.7
New Mexico,3.8
New York,4.2
North Carolina,3.5
North Dakota,2.0
Ohio,4.0
Oklahoma,3.5
Oregon,4.2
Pennsylvania,3.4
Rhode Island,4.1
South Carolina,3.2
South Dakota,2.0
Tennessee,3.1
Texas,4.0
Utah,2.8
Vermont,2.1
Virginia,2.8
Washington,4.8
West Virginia,4.3
Wisconsin,2.9
Wyoming,2.8
